porosity,k_pnm,q_pnm,k_edm,q_edm,radius_pore_avg,radius_pore_std,radius_throat_avg,radius_throat_std,length_throat_avg,length_throat_std,connection_n_avg,connection_n_std
0.20534712870045574,2.5830215509697033e-11,2.2431313878031824e-05,1.0310614889018716e-11,8.953879566520118e-06,0.00025684902768187244,9.031240369696652e-05,0.00018447263451918685,8.403393159600501e-05,0.0005683849395887974,0.00031761315808661347,3.2051282051282053,1.5051959098911971
0.19032520730935454,5.285320909231324e-12,8.121924090447657e-06,4.1201043132347555e-12,6.331342041761739e-06,0.0002717049639731879,7.329581846701012e-05,0.00012875883143258804,4.944442835418437e-05,0.0015575981517858884,0.0009128695748961387,3.2444444444444445,2.1867586927338167
0.2348169207471109,1.1941400883122622e-11,1.8102957479503256e-05,1.1775584745308938e-11,1.785158307865729e-05,0.00024693200395217106,6.525546143516251e-05,0.00010736225347391404,3.61451901772884e-05,0.0025731905336061445,0.0015280005334996287,4.539007092198582,4.1816345009147415
0.27336108098689915,3.075073402491465e-12,7.766621690937662e-07,2.335844061015212e-12,5.89957206752531e-07,5.985477491720432e-05,1.8955496837094795e-05,3.7481775049902305e-05,1.6380424108371742e-05,0.00017107606124316726,9.51735470629427e-05,3.7548387096774194,2.131611341091359
0.27967746025628737,2.8344295254543554e-12,1.2576274315368424e-06,3.156569011741705e-12,1.4005597045384854e-06,7.753107927982609e-05,2.1490921208233067e-05,3.639833773250523e-05,1.2402662533019528e-05,0.0006816922257214729,0.00043154074212710543,5.257234726688104,4.53085925634994
0.28787337563301274,1.5253680497996266e-11,1.0089609902059452e-05,1.1034980110864481e-11,7.299133124640503e-06,0.00014976572397468958,4.543572365829831e-05,8.85653024142816e-05,3.770859463215386e-05,0.0004949567509125784,0.0003135095260731121,4.0267441860465105,2.4055132614139314
0.3276557139395062,2.1539050385993068e-11,1.0742706370379984e-05,1.918467880445584e-11,9.568452067893684e-06,0.00011339239842232728,3.5303201516178904e-05,6.791871350020591e-05,2.862533954653177e-05,0.00038474927057619436,0.00025049192782186733,4.440437158469945,2.8621333755025633
0.25849502768079224,1.7283280368725508e-13,9.542361229457767e-09,1.3525249444930518e-13,7.467495357859981e-09,1.4313918754984243e-05,4.623323775663485e-06,9.258291639292612e-06,4.233048849348054e-06,3.599186590566297e-05,2.0515538676252922e-05,3.6907894736842106,1.8477708925806102
0.32748095025210266,5.352985245943565e-10,0.0006445105944583524,2.834525015095169e-10,0.0003412827270298288,0.00044970364886928857,0.00016888331219300278,0.0003524058271277351,0.0001690083258208119,0.0008339955119359143,0.0004920468392145117,4.210909090909091,1.8446653036918723
0.17700743362689442,2.870009794090059e-13,8.340282852007224e-08,1.5293773183435328e-13,4.4443888131306864e-08,5.959739903530381e-05,1.7374666834607382e-05,3.3197469451204744e-05,1.4050489555426902e-05,0.00021023412378803327,0.00011484867485966797,3.0540098199672667,1.6158065767661025
0.305755561172913,1.2195026487711986e-10,8.676229149835209e-05,8.826929591627804e-11,6.279975193460431e-05,0.0002437441979834977,9.381525455667112e-05,0.00019143467750522064,9.04234738545052e-05,0.0004881016472296066,0.0002952798983030213,3.940251572327044,1.7802769728987051
0.1557949591402589,1.5494846106943712e-12,1.235213664481389e-06,1.010527479523247e-12,8.055693760531693e-07,0.0001606197975023659,4.4225233900309695e-05,8.804427493701646e-05,3.659825475129867e-05,0.0005515140158251238,0.0003267936953966096,2.8587786259541983,1.5589862741223637
0.2668084590252677,1.0060510018853487e-11,8.018571089390865e-06,9.63866086874462e-12,7.68234286708325e-06,0.00014878636853010791,4.327657425789226e-05,7.486382611596432e-05,2.863320235979521e-05,0.0009113127362281537,0.0005900934683313707,4.3144963144963135,3.3013080840344533
0.2884330837637918,3.2658471672141704e-12,1.434979771324535e-06,3.330096883680384e-12,1.4632104381995559e-06,7.822393067835675e-05,2.222946369540247e-05,3.7886094652483804e-05,1.3282461841810181e-05,0.0006252312685006103,0.00037762577759478357,5.2376681614349785,4.41447726352872
0.2697235747603312,2.951225730540433e-11,3.6422576301602195e-05,2.3244515843244183e-11,2.868723809003004e-05,0.00024255524485303266,6.945561089953344e-05,0.00012870555846779526,5.042113662972471e-05,0.0011952908839718385,0.0007418747994287701,4.289740698985344,2.94874223475634
0.19892231025516827,6.379805863519916e-12,6.38297146247456e-06,3.890895238457917e-12,3.892825863646674e-06,0.00020916027738154184,5.931948358188212e-05,0.00011591610574428147,5.079100517834914e-05,0.0006977690023330826,0.0003964446566925715,3.1701030927835046,1.69350882912382
0.233179574782976,3.689305201446135e-11,4.070546936471655e-05,2.3169442477508578e-11,2.556370317630817e-05,0.00039958878804312894,0.00015086545934372487,0.00029870182756154464,0.00014297805870349732,0.0008365765501770613,0.0004949464588282396,3.287769784172662,1.4751885835623235
0.15220698842943736,2.2103627209610433e-12,2.7982418368164397e-06,1.3096375283672144e-12,1.657955270503589e-06,0.00025051703605739656,6.899018530813894e-05,0.0001349984227304886,5.6862810436390305e-05,0.0009221272901717164,0.0005600583906339967,2.703529411764706,1.4987404169402527
0.3480105582816049,4.9677326368986257e-11,2.546265043033789e-05,4.1364272760788826e-11,2.120170497482042e-05,0.0001358299096012092,4.535060648875645e-05,8.935799133093305e-05,3.8655722588516896e-05,0.00036637406286150163,0.00022842110924324122,4.5035260930888565,2.630310783218386
0.3486824120893717,1.6028563754943205e-09,0.0023712790448491205,1.4281279317768842e-09,0.0021127843328706537,0.0005867158580606747,0.0002082863649807923,0.00047130232296244113,0.00021832387357910495,0.0010914356908379432,0.0006566683277316213,4.4296875,2.0104554589305748
0.18615065345807316,6.242635446934204e-12,9.81610564503117e-06,1.5036569739894977e-12,2.3643949476206475e-06,0.00045209591075235663,0.00015603916879559267,0.00030728155135420867,0.00014222995315330765,0.001003844631324251,0.0005470063559974088,3.014018691588785,1.4124909129229386
0.3106314629004088,5.831744576952256e-11,6.169256633241585e-05,5.029665346382964e-11,5.3207570893605136e-05,0.00022318778060926388,6.512509940735435e-05,0.00012817762741740602,5.1056821576296416e-05,0.0009080950126890316,0.0005491019757657113,4.572327044025157,3.0093337391222605
0.3027447632908776,1.7637762095525574e-10,0.00012148374230334585,1.3768172389537731e-10,9.48311411334298e-05,0.00026101744346913386,9.053350967174648e-05,0.00020522221200822903,0.0001007396179284577,0.00048615964894940735,0.00029020347539590954,4.134615384615385,1.8670096014940596
